index,heading,local_x,local_y,longitude,latitude,altitude,s
1,202.51,183.597,261.888,121.443433469,31.03066933,16.1,0
90,202.18,183.032,261.674,121.443427581,31.030667323000003,16.09,0.6045093598045157
121,201.93,182.46,261.46,121.443421617,31.030665319,16.086000000000002,1.2156494141388836
143,201.67,181.875,261.242,121.443415518,31.030663286000003,16.080000000000002,1.8399660740268053
160,201.42,181.312,261.032,121.443409658,31.030661315000003,16.076,2.440527555800843
175,201.22,180.734,260.824,121.44340363,31.030659371,16.075,3.054999059666379
189,201.16,180.126,260.603,121.443397298,31.030657301,16.074,3.7015528104311493
201,201.12,179.545,260.396,121.443391238,31.030655361,16.07,4.3187313520071795
212,201.05,178.972,260.19,121.443385273,31.03065343,16.069,4.927065868882833
223,201.02,178.359,259.974,121.443378877,31.030651404,16.071,5.577635100079431
233,200.97,177.767,259.765,121.443372713,31.030649444,16.071,6.204893525600115
243,200.9,177.144,259.546,121.443366222,31.030647387,16.062,6.865160455578335
252,200.85,176.557,259.337,121.443360104,31.030645432000004,16.06,7.48810834755571
261,200.81,175.948,259.124,121.443353757,31.030643429,16.062,8.133407847790412
270,200.82,175.322,258.901,121.443347229,31.030641340000003,16.061,8.798218038678453
278,200.8,174.746,258.698,121.443341222,31.030639436,16.061,9.40926690067735
286,200.73,174.156,258.491,121.443335074,31.030637493,16.061,10.03444101460755
294,200.7,173.552,258.281,121.44332878,31.030635524,16.057,10.673695666821029
302,200.66,172.936,258.065,121.443322362,31.030633498,16.055,11.326236452373264
310,200.71,172.309,257.845,121.443315818,31.030631433000003,16.052,11.991558554025831
318,200.75,171.667,257.621,121.443309132,31.030629331000004,16.05,12.671020303249096
325,200.79,171.092,257.421,121.443303139,31.030627458,16.048000000000002,13.279634261457549
332,200.81,170.507,257.216,121.443297043,31.030625537,16.046,13.899308395640498
339,200.85,169.917,257.008,121.443290893,31.030623582,16.043,14.525121271546029
346,200.85,169.314,256.796,121.44328461,31.030621598000003,16.038,15.163959717962843
353,200.84,168.702,256.581,121.443278232,31.030619578000003,16.035,15.812686874102743
360,200.84,168.085,256.361,121.443271792,31.030617519000003,16.036,16.468464321194563
367,200.86,167.457,256.142,121.44326525,31.030615456000003,16.037,17.1335309964196
374,200.87,166.819,255.918,121.4432586,31.03061336,16.036,17.809536780037337
381,200.84,166.174,255.69,121.443251876,31.030611217,16.034,18.493971613231444
388,200.83,165.522,255.459,121.443245086,31.030609053000003,16.028,19.185123253072543
394,200.82,164.955,255.259,121.443239177,31.03060718,16.025,19.786205866737422
400,200.79,164.384,255.059,121.443233225,31.030605301,16.023,20.39137094307112
406,200.78,163.81,254.856,121.443227239,31.030603402,16.022000000000002,21.000347293805483
412,200.76,163.232,254.656,121.443221214,31.030601519,16.019000000000002,21.612211112635315
418,200.74,162.651,254.451,121.443215156,31.030599598,16.017,22.22848006181549
424,200.7,162.064,254.248,121.443209045,31.030597698,16.027,22.848704849077812
430,200.69,161.478,254.043,121.443202932,31.030595768,16.041,23.470246159488884
436,200.69,160.889,253.836,121.443196796,31.030593827,16.05,24.094268795525
442,200.7,160.298,253.629,121.443190637,31.030591886000003,16.058,24.72035286234592
448,200.73,159.707,253.425,121.443184472,31.030589972,16.065,25.34595338793261
454,200.77,159.113,253.217,121.443178283,31.030588020000003,16.074,25.97514599035424
460,200.79,158.52,253.003,121.443172101,31.030586019,16.083000000000002,26.60560180918238
466,200.85,157.925,252.794,121.443165898,31.030584054,16.087,27.236545637512688
472,200.9,157.321,252.59,121.4431596,31.030582142000004,16.094,27.874030866523622
478,200.78,156.721,252.375,121.443153354,31.030580127,16.108,28.510752050109176
484,200.79,156.115,252.157,121.443147034,31.030578086,16.115000000000002,29.155099616312757
490,200.86,155.507,251.945,121.443140696,31.030576089,16.107,29.799364088356047
496,200.85,154.898,251.727,121.443134347,31.030574048,16.098,30.446304513737093
502,200.89,154.283,251.514,121.443127944,31.030572052000004,16.093,31.096361954080912
508,200.91,153.669,251.297,121.443121545,31.030570019,16.093,31.747468702145394
514,200.89,153.053,251.081,121.443115125,31.030567986,16.09,32.40045660699376
520,200.89,152.434,250.861,121.44310867,31.030565924,16.087,33.05769257071968
526,200.9,151.813,250.641,121.443102197,31.030563861,16.087,33.71657832298286
532,200.87,151.185,250.422,121.443095655,31.030561809,16.09,34.38122703432357
538,200.87,150.559,250.201,121.443089126,31.030559738,16.089,35.04543492101211
544,200.88,149.929,249.981,121.443082558,31.030557674,16.089,35.71287117596415
550,200.9,149.297,249.757,121.443075977,31.030555575,16.092,36.38281108547866
556,200.96,148.663,249.532,121.443069368,31.030553462,16.087,37.05579677685273
562,201.01,148.027,249.309,121.443062739,31.030551372,16.080000000000002,37.72969182177473
568,201.04,147.389,249.082,121.443056087,31.030549247000003,16.077,38.40698876626907
574,201.06,146.745,248.854,121.44304938,31.03054711,16.077,39.08967123403479
580,201.1,146.103,248.624,121.443042686,31.030544952000003,16.075,39.77200266921916
586,201.15,145.459,248.393,121.443035978,31.030542788,16.073,40.455818966729495
592,201.18,144.811,248.163,121.443029222,31.030540627,16.076,41.143812227302504
598,201.23,144.162,247.931,121.443022457,31.030538453,16.078,41.833113495810736
604,201.26,143.509,247.695,121.443015652,31.030536241000004,16.079,42.527469987391235
610,201.28,142.856,247.46,121.443008845,31.030534042000003,16.077,43.221497625144394
616,201.31,142.204,247.227,121.443002054,31.030531858000003,16.073,43.913511903694285
622,201.32,141.549,246.99,121.442995224,31.030529632,16.072,44.61064956237557
628,201.34,140.89,246.75,121.44298836,31.030527389000003,16.074,45.31149013556374
634,201.38,140.228,246.513,121.442981455,31.030525168,16.073,46.01513433728538
640,201.37,139.564,246.273,121.442974542,31.030522920000003,16.072,46.720545844483404
646,201.34,138.899,246.031,121.44296761,31.030520649000003,16.073,47.42855707465974
652,201.35,138.233,245.789,121.442960672,31.030518388,16.069,48.13671056442453
658,201.38,137.564,245.548,121.442953696,31.030516127,16.067,48.84825795116713
664,201.37,136.895,245.307,121.442946723,31.030513869000004,16.068,49.55942021060771
670,201.37,136.225,245.062,121.442939737,31.030511574,16.068,50.27319587248034
676,201.41,135.552,244.817,121.44293273,31.030509281,16.068,50.98876614625104
682,201.4,134.88,244.572,121.442925728,31.030506981,16.066,51.70416647628708
