index,heading,local_x,local_y,longitude,latitude,altitude,s
1,297.15,-762.9854842834175,365.5486164926551,121.433503303,31.031484343,16.544,0
180,295.12,-762.7230074667023,365.0088730230928,121.433506132,31.031479508,16.558,0.6001808829412383
204,295.49,-762.4712973809219,364.4435601509176,121.433508852,31.031474441,16.524,1.2189996049677394
222,296.24,-762.2054634331143,363.8710635346361,121.433511721,31.031469311,16.531,1.8502048516670428
237,296.29999999999995,-761.9357316993992,363.304166205693,121.43351463,31.031464232,16.523,2.4780008294622498
250,296.18,-761.6758879568079,362.74694286705926,121.433517434,31.031459239000004,16.514,3.092831391228642
262,296.03,-761.418693131709,362.177894086577,121.433520212,31.031454139,16.509,3.7173037225820638
273,295.76,-761.1636876689154,361.6228454485536,121.433522965,31.031449165,16.505,4.328128391882677
284,295.51,-760.8974260621471,361.033269291278,121.433525841,31.031443881,16.503,4.9750405099224615
294,295.22,-760.6473370147287,360.4748530969955,121.433528543,31.031438876000003,16.497,5.586900933283528
304,294.95,-760.3870512893773,359.88802201487124,121.433531356,31.031433616,16.497,6.228866179826399
313,294.7,-760.1502582115936,359.3345605675131,121.433533918,31.031428654000003,16.503,6.830854996498283
322,294.42,-759.9054514712188,358.7603648477234,121.433536567,31.031423506000003,16.5,7.4550593418514275
331,294.15,-759.6519316520425,358.1676423419267,121.43353931,31.031418192,16.496,8.099723803097042
340,293.98,-759.3933916718233,357.5585515885614,121.433542108,31.031412731000003,16.493000000000002,8.76141441600225
348,293.85,-759.1615540235653,356.9989514644258,121.433544619,31.031407713000004,16.496,9.367137945413507
356,293.64,-758.9286395526142,356.4276951062493,121.433547143,31.031402590000003,16.496,9.984052021712193
364,293.49,-758.6891103729722,355.8380524106324,121.433549739,31.031397302,16.490000000000002,10.62048955705589
372,293.44,-758.4426770019345,355.23024103278294,121.43355241,31.031391851,16.483,11.276358505401696
380,293.4,-758.1920028396999,354.61172662256286,121.433555127,31.031386304,16.499,11.943739664307117
387,293.34000000000003,-757.9668497898965,354.05199903436005,121.433557568,31.031381284,16.503,12.547054564530104
394,293.25,-757.7386186927324,353.4871281669475,121.433560042,31.031376218,16.486,13.15629058658077
401,293.19,-757.5040264259442,352.90620274981484,121.433562585,31.031371008,16.462,13.78279507332258
408,293.2,-757.2714837960084,352.3153281812556,121.433565108,31.031365708000003,16.462,14.417782341311083
415,293.17,-757.0325815533288,351.7082882197574,121.4335677,31.031360263000003,16.469,15.070140982254179
422,293.09000000000003,-756.7876030598418,351.0920714926906,121.433570357,31.031354736,16.467,15.73326805679424
429,292.96000000000004,-756.5392398410477,350.4721484389156,121.43357305,31.031349176000003,16.462,16.40109204636894
436,292.89,-756.2927869212581,349.8386156554334,121.433575725,31.031343493,16.457,17.080873503470816
443,292.86,-756.0413047184702,349.2029055021703,121.433578453,31.031337791,16.45,17.76451865797774
450,292.89,-755.7881464124075,348.5574154118076,121.4335812,31.031332001000003,16.445,18.457877572743396
456,292.9,-755.568045779306,347.9982025846839,121.433583588,31.031326985000003,16.441,19.058846186492385
